"","vis450100","vis450300","vis450400","vis450450","vis450550","vis450600","vis450700","vis450900","vis550100","vis550300","vis550400","vis550450","vis550550","vis550600","vis550700","vis550900","aud01450100","aud01450300","aud01450400","aud01450450","aud01450550","aud01450600","aud01450700","aud01450900","aud01550100","aud01550300","aud01550400","aud01550450","aud01550550","aud01550600","aud01550700","aud01550900","aud06450100","aud06450300","aud06450400","aud06450450","aud06450550","aud06450600","aud06450700","aud06450900","aud06550100","aud06550300","aud06550400","aud06550450","aud06550550","aud06550600","aud06550700","aud06550900","av01450100","av01450300","av01450400","av01450450","av01450550","av01450600","av01450700","av01450900","av01550100","av01550300","av01550400","av01550450","av01550550","av01550600","av01550700","av01550900","av06450100","av06450300","av06450400","av06450450","av06450550","av06450600","av06450700","av06450900","av06550100","av06550300","av06550400","av06550450","av06550550","av06550600","av06550700","av06550900"
"1",90,270,360,405,495,540,630,810,110,330,440,495,605,660,770,990,90,270,360,405,495,540,630,810,110,330,440,495,605,660,770,990,90,270,360,405,495,540,630,810,110,330,440,495,605,660,770,990,100,300,400,450,550,600,700,900,100,300,400,450,550,600,700,900,100,300,400,450,550,600,700,900,100,300,400,450,550,600,700,900
"2",90,270,360,405,495,540,630,810,110,330,440,495,605,660,770,990,90,270,360,405,495,540,630,810,110,330,440,495,605,660,770,990,90,270,360,405,495,540,630,810,110,330,440,495,605,660,770,990,100,300,400,450,550,600,700,900,100,300,400,450,550,600,700,900,100,300,400,450,550,600,700,900,100,300,400,450,550,600,700,900
"3",90,270,360,405,495,540,630,810,110,330,440,495,605,660,770,990,90,270,360,405,495,540,630,810,110,330,440,495,605,660,770,990,90,270,360,405,495,540,630,810,110,330,440,495,605,660,770,990,100,300,400,450,550,600,700,900,100,300,400,450,550,600,700,900,100,300,400,450,550,600,700,900,100,300,400,450,550,600,700,900
"4",90,270,360,405,495,540,630,810,110,330,440,495,605,660,770,990,90,270,360,405,495,540,630,810,110,330,440,495,605,660,770,990,90,270,360,405,495,540,630,810,110,330,440,495,605,660,770,990,100,300,400,450,550,600,700,900,100,300,400,450,550,600,700,900,100,300,400,450,550,600,700,900,100,300,400,450,550,600,700,900
"5",90,270,360,405,495,540,630,810,110,330,440,495,605,660,770,990,90,270,360,405,495,540,630,810,110,330,440,495,605,660,770,990,90,270,360,405,495,540,630,810,110,330,440,495,605,660,770,990,100,300,400,450,550,600,700,900,100,300,400,450,550,600,700,900,100,300,400,450,550,600,700,900,100,300,400,450,550,600,700,900
"6",90,270,360,405,495,540,630,810,110,330,440,495,605,660,770,990,90,270,360,405,495,540,630,810,110,330,440,495,605,660,770,990,90,270,360,405,495,540,630,810,110,330,440,495,605,660,770,990,100,300,400,450,550,600,700,900,100,300,400,450,550,600,700,900,100,300,400,450,550,600,700,900,100,300,400,450,550,600,700,900
"7",90,270,360,405,495,540,630,810,110,330,440,495,605,660,770,990,90,270,360,405,495,540,630,810,110,330,440,495,605,660,770,990,90,270,360,405,495,540,630,810,110,330,440,495,605,660,770,990,100,300,400,450,550,600,700,900,100,300,400,450,550,600,700,900,100,300,400,450,550,600,700,900,100,300,400,450,550,600,700,900
"8",90,270,360,405,495,540,630,810,110,330,440,495,605,660,770,990,90,270,360,405,495,540,630,810,110,330,440,495,605,660,770,990,90,270,360,405,495,540,630,810,110,330,440,495,605,660,770,990,100,300,400,450,550,600,700,900,100,300,400,450,550,600,700,900,100,300,400,450,550,600,700,900,100,300,400,450,550,600,700,900
"9",90,270,360,405,495,540,630,810,110,330,440,495,605,660,770,990,90,270,360,405,495,540,630,810,110,330,440,495,605,660,770,990,90,270,360,405,495,540,630,810,110,330,440,495,605,660,770,990,100,300,400,450,550,600,700,900,100,300,400,450,550,600,700,900,100,300,400,450,550,600,700,900,100,300,400,450,550,600,700,900
"10",90,270,360,405,495,540,630,810,110,330,440,495,605,660,770,990,90,270,360,405,495,540,630,810,110,330,440,495,605,660,770,990,90,270,360,405,495,540,630,810,110,330,440,495,605,660,770,990,100,300,400,450,550,600,700,900,100,300,400,450,550,600,700,900,100,300,400,450,550,600,700,900,100,300,400,450,550,600,700,900
