"","vis450100","vis450300","vis450400","vis450450","vis450550","vis450600","vis450700","vis450900","vis550100","vis550300","vis550400","vis550450","vis550550","vis550600","vis550700","vis550900","aud01450100","aud01450300","aud01450400","aud01450450","aud01450550","aud01450600","aud01450700","aud01450900","aud01550100","aud01550300","aud01550400","aud01550450","aud01550550","aud01550600","aud01550700","aud01550900","aud06450100","aud06450300","aud06450400","aud06450450","aud06450550","aud06450600","aud06450700","aud06450900","aud06550100","aud06550300","aud06550400","aud06550450","aud06550550","aud06550600","aud06550700","aud06550900","av01450100","av01450300","av01450400","av01450450","av01450550","av01450600","av01450700","av01450900","av01550100","av01550300","av01550400","av01550450","av01550550","av01550600","av01550700","av01550900","av06450100","av06450300","av06450400","av06450450","av06450550","av06450600","av06450700","av06450900","av06550100","av06550300","av06550400","av06550450","av06550550","av06550600","av06550700","av06550900"
"1",5,4,5,9,9,13,11,13,2,6,4,4,11,1,13,14,1,4,8,9,9,11,8,15,0,2,3,7,11,9,12,16,3,5,6,11,7,10,5,13,2,4,5,2,7,9,12,15,1,2,5,5,9,12,15,16,0,0,1,2,7,12,15,15,0,4,8,8,11,11,14,15,1,4,3,9,9,9,11,16
"2",2,6,6,11,11,11,11,13,2,3,9,6,8,11,14,16,1,2,6,9,12,11,13,16,1,5,7,4,10,9,11,16,1,4,8,6,6,8,13,13,1,6,7,6,7,13,12,11,0,2,5,8,9,13,12,15,0,5,7,6,14,9,12,12,1,8,6,5,8,7,11,14,1,4,1,6,4,13,14,16
"3",2,6,10,9,13,11,14,14,1,2,4,6,8,11,11,15,1,2,4,3,10,11,9,15,0,5,9,7,6,9,16,16,3,5,9,10,11,12,13,14,2,4,10,15,7,10,8,11,0,1,6,7,9,9,13,16,0,2,4,4,9,10,11,16,1,6,6,6,7,10,10,15,1,3,3,9,13,7,14,14
"4",2,4,6,9,11,6,9,13,1,8,5,7,11,9,13,15,4,3,4,4,11,12,12,15,0,4,6,4,11,12,12,15,2,4,6,8,13,11,13,13,3,2,3,6,10,14,14,10,0,3,4,5,8,11,15,15,0,0,3,4,11,10,16,16,2,5,5,8,8,12,11,15,0,6,5,11,9,10,11,16
"5",1,6,8,10,7,8,13,12,1,5,11,3,8,9,12,15,0,2,6,7,11,11,12,13,3,2,6,5,9,10,16,16,2,7,7,6,9,10,11,16,2,3,4,9,6,11,13,14,0,0,6,9,9,14,15,15,0,1,4,6,10,11,3,15,2,1,1,6,12,12,14,15,1,3,4,4,9,11,13,15
"6",2,3,6,4,5,11,12,13,3,2,6,7,11,13,12,14,2,6,4,4,10,11,12,16,0,6,3,7,8,11,7,15,4,5,6,5,7,8,9,13,4,5,5,9,8,8,12,3,0,0,7,9,7,10,13,14,2,3,4,2,7,12,13,16,1,5,8,9,9,9,10,13,0,8,8,7,13,10,14,15
"7",1,4,3,6,3,8,9,13,2,3,7,5,10,8,13,16,2,2,5,6,10,11,14,15,1,3,6,6,7,11,8,15,3,8,7,5,11,9,7,12,1,7,7,10,9,9,8,13,1,7,6,7,10,11,14,15,0,4,1,7,8,9,12,15,0,2,7,5,12,9,12,15,3,6,6,10,10,12,12,16
"8",2,6,5,7,8,10,11,15,3,2,6,3,15,9,14,12,1,7,7,5,10,7,11,16,0,4,3,5,10,11,15,16,5,7,5,6,9,8,12,13,0,6,5,5,9,6,10,16,1,4,6,8,9,11,14,15,0,5,3,6,11,11,11,0,3,2,5,3,5,11,14,14,0,3,3,8,7,12,13,16
"9",2,8,7,9,9,6,11,13,1,16,6,7,8,11,12,14,1,3,3,5,9,11,12,15,0,5,8,8,11,11,10,16,5,5,8,7,6,8,12,12,2,5,6,7,10,7,13,14,1,5,9,14,9,10,13,16,0,4,5,5,8,10,11,14,1,4,4,6,9,10,12,15,0,3,6,7,10,8,13,15
"10",1,4,8,8,8,9,6,15,0,6,8,9,1,11,14,13,0,4,4,6,7,13,13,16,1,3,6,6,10,14,11,14,3,7,6,9,5,6,12,13,5,6,6,10,10,13,9,16,2,2,7,6,10,10,12,16,0,1,4,6,10,10,14,14,1,6,5,7,6,11,12,15,0,3,0,8,10,12,11,14
